day,shift,preference,requirements,assigned,singleWorkerFitness
1,1,0,7,0,620
1,1,0,7,1,630
1,1,0,7,1,550
1,1,0,7,0,520
1,1,0,7,0,600
1,1,1,7,1,560
1,1,0,7,1,660
1,1,1,7,1,490
1,1,1,7,1,590
1,1,1,7,1,580
1,1,0,7,0,610
1,2,1,7,1,620
1,2,1,7,1,630
1,2,0,7,1,550
1,2,1,7,1,520
1,2,1,7,1,600
1,2,0,7,0,560
1,2,0,7,0,660
1,2,1,7,1,490
1,2,1,7,1,590
1,2,0,7,0,580
1,2,1,7,1,610
1,3,1,7,1,620
1,3,0,7,0,630
1,3,1,7,1,550
1,3,0,7,0,520
1,3,1,7,1,600
1,3,1,7,1,560
1,3,1,7,1,660
1,3,0,7,0,490
1,3,0,7,1,590
1,3,0,7,1,580
1,3,1,7,0,610
2,1,0,5,0,620
2,1,0,5,0,630
2,1,1,5,1,550
2,1,0,5,0,520
2,1,0,5,0,600
2,1,1,5,1,560
2,1,0,5,0,660
2,1,1,5,0,490
2,1,0,5,1,590
2,1,1,5,1,580
2,1,1,5,1,610
2,2,1,5,0,620
2,2,0,5,0,630
2,2,1,5,1,550
2,2,0,5,1,520
2,2,0,5,0,600
2,2,1,5,0,560
2,2,0,5,0,660
2,2,0,5,1,490
2,2,0,5,0,590
2,2,1,5,1,580
2,2,1,5,1,610
2,3,0,9,1,620
2,3,0,9,1,630
2,3,0,9,0,550
2,3,1,9,1,520
2,3,0,9,1,600
2,3,0,9,0,560
2,3,0,9,0,660
2,3,1,9,1,490
2,3,0,9,1,590
2,3,1,9,1,580
2,3,1,9,1,610
3,1,1,7,0,620
3,1,0,7,1,630
3,1,0,7,0,550
3,1,1,7,1,520
3,1,1,7,1,600
3,1,1,7,1,560
3,1,1,7,1,660
3,1,0,7,0,490
3,1,1,7,0,590
3,1,1,7,1,580
3,1,1,7,1,610
3,2,0,8,0,620
3,2,1,8,1,630
3,2,0,8,1,550
3,2,0,8,1,520
3,2,1,8,1,600
3,2,1,8,1,560
3,2,1,8,1,660
3,2,0,8,1,490
3,2,1,8,1,590
3,2,0,8,0,580
3,2,1,8,1,610
3,3,1,9,1,620
3,3,0,9,1,630
3,3,0,9,1,550
3,3,0,9,1,520
3,3,0,9,1,600
3,3,0,9,0,560
3,3,1,9,1,660
3,3,0,9,1,490
3,3,0,9,1,590
3,3,0,9,1,580
3,3,0,9,0,610
4,1,0,6,1,620
4,1,0,6,0,630
4,1,0,6,1,550
4,1,1,6,0,520
4,1,0,6,0,600
4,1,0,6,0,560
4,1,1,6,1,660
4,1,1,6,1,490
4,1,1,6,0,590
4,1,1,6,1,580
4,1,1,6,1,610
4,2,0,10,1,620
4,2,1,10,1,630
4,2,0,10,0,550
4,2,0,10,1,520
4,2,1,10,1,600
4,2,1,10,1,560
4,2,1,10,1,660
4,2,1,10,1,490
4,2,1,10,1,590
4,2,1,10,1,580
4,2,0,10,1,610
4,3,0,10,1,620
4,3,1,10,1,630
4,3,0,10,1,550
4,3,0,10,1,520
4,3,0,10,1,600
4,3,0,10,1,560
4,3,1,10,1,660
4,3,0,10,0,490
4,3,0,10,1,590
4,3,0,10,1,580
4,3,0,10,1,610
5,1,1,8,1,620
5,1,0,8,1,630
5,1,0,8,0,550
5,1,0,8,1,520
5,1,1,8,0,600
5,1,1,8,1,560
5,1,0,8,1,660
