id,day,shift,worker_id,preference,requirements,assigned,sumFitnness
0,1,1,1,0,7,0,5500
1,1,1,2,0,7,0,5500
2,1,1,3,0,7,1,5500
3,1,1,4,0,7,0,5500
4,1,1,5,0,7,1,5500
5,1,1,6,1,7,1,5500
6,1,1,7,0,7,0,5500
7,1,1,8,1,7,1,5500
8,1,1,9,1,7,1,5500
9,1,1,10,1,7,1,5500
10,1,1,11,0,7,1,5500
11,1,2,1,1,7,1,5500
12,1,2,2,1,7,0,5500
13,1,2,3,0,7,0,5500
14,1,2,4,1,7,1,5500
15,1,2,5,1,7,1,5500
16,1,2,6,0,7,1,5500
17,1,2,7,0,7,0,5500
18,1,2,8,1,7,0,5500
19,1,2,9,1,7,1,5500
20,1,2,10,0,7,1,5500
21,1,2,11,1,7,1,5500
22,1,3,1,1,7,1,5500
23,1,3,2,0,7,1,5500
24,1,3,3,1,7,0,5500
25,1,3,4,0,7,1,5500
26,1,3,5,1,7,1,5500
27,1,3,6,1,7,1,5500
28,1,3,7,1,7,0,5500
29,1,3,8,0,7,0,5500
30,1,3,9,0,7,0,5500
31,1,3,10,0,7,1,5500
32,1,3,11,1,7,1,5500
33,2,1,1,0,5,0,5500
34,2,1,2,0,5,1,5500
35,2,1,3,1,5,0,5500
36,2,1,4,0,5,0,5500
37,2,1,5,0,5,0,5500
38,2,1,6,1,5,0,5500
39,2,1,7,0,5,1,5500
40,2,1,8,1,5,1,5500
41,2,1,9,0,5,0,5500
42,2,1,10,1,5,1,5500
43,2,1,11,1,5,1,5500
44,2,2,1,1,5,0,5500
45,2,2,2,0,5,0,5500
46,2,2,3,1,5,1,5500
47,2,2,4,0,5,1,5500
48,2,2,5,0,5,1,5500
49,2,2,6,1,5,1,5500
50,2,2,7,0,5,0,5500
51,2,2,8,0,5,0,5500
52,2,2,9,0,5,0,5500
53,2,2,10,1,5,0,5500
54,2,2,11,1,5,1,5500
55,2,3,1,0,9,1,5500
56,2,3,2,0,9,1,5500
57,2,3,3,0,9,1,5500
58,2,3,4,1,9,1,5500
59,2,3,5,0,9,1,5500
60,2,3,6,0,9,1,5500
61,2,3,7,0,9,0,5500
62,2,3,8,1,9,1,5500
63,2,3,9,0,9,1,5500
64,2,3,10,1,9,0,5500
65,2,3,11,1,9,1,5500
66,3,1,1,1,7,0,5500
67,3,1,2,0,7,1,5500
68,3,1,3,0,7,0,5500
69,3,1,4,1,7,1,5500
70,3,1,5,1,7,0,5500
71,3,1,6,1,7,1,5500
72,3,1,7,1,7,0,5500
73,3,1,8,0,7,1,5500
74,3,1,9,1,7,1,5500
75,3,1,10,1,7,1,5500
76,3,1,11,1,7,1,5500
77,3,2,1,0,8,1,5500
78,3,2,2,1,8,1,5500
79,3,2,3,0,8,1,5500
80,3,2,4,0,8,1,5500
81,3,2,5,1,8,0,5500
82,3,2,6,1,8,1,5500
83,3,2,7,1,8,1,5500
84,3,2,8,0,8,0,5500
85,3,2,9,1,8,1,5500
86,3,2,10,0,8,0,5500
87,3,2,11,1,8,1,5500
88,3,3,1,1,9,1,5500
89,3,3,2,0,9,1,5500
90,3,3,3,0,9,1,5500
91,3,3,4,0,9,1,5500
92,3,3,5,0,9,1,5500
93,3,3,6,0,9,1,5500
94,3,3,7,1,9,1,5500
95,3,3,8,0,9,1,5500
96,3,3,9,0,9,1,5500
97,3,3,10,0,9,0,5500
98,3,3,11,0,9,1,5500
99,4,1,1,0,6,0,5500
100,4,1,2,0,6,1,5500
101,4,1,3,0,6,0,5500
102,4,1,4,1,6,1,5500
103,4,1,5,0,6,0,5500
104,4,1,6,0,6,1,5500
105,4,1,7,1,6,1,5500
106,4,1,8,1,6,0,5500
107,4,1,9,1,6,0,5500
108,4,1,10,1,6,1,5500
109,4,1,11,1,6,1,5500
110,4,2,1,0,10,0,5500
111,4,2,2,1,10,1,5500
112,4,2,3,0,10,1,5500
113,4,2,4,0,10,1,5500
114,4,2,5,1,10,1,5500
115,4,2,6,1,10,1,5500
116,4,2,7,1,10,1,5500
117,4,2,8,1,10,1,5500
118,4,2,9,1,10,1,5500
119,4,2,10,1,10,1,5500
120,4,2,11,0,10,1,5500
121,4,3,1,0,10,1,5500
122,4,3,2,1,10,1,5500
123,4,3,3,0,10,1,5500
124,4,3,4,0,10,1,5500
125,4,3,5,0,10,0,5500
126,4,3,6,0,10,1,5500
127,4,3,7,1,10,1,5500
128,4,3,8,0,10,1,5500
129,4,3,9,0,10,1,5500
130,4,3,10,0,10,1,5500
131,4,3,11,0,10,1,5500
132,5,1,1,1,8,1,5500
133,5,1,2,0,8,0,5500
134,5,1,3,0,8,1,5500
135,5,1,4,0,8,0,5500
136,5,1,5,1,8,1,5500
137,5,1,6,1,8,1,5500
138,5,1,7,0,8,1,5500
139,5,1,8,1,8,1,5500
140,5,1,9,0,8,0,5500
141,5,1,10,1,8,1,5500
142,5,1,11,1,8,1,5500
143,5,2,1,0,9,0,5500
144,5,2,2,0,9,1,5500
145,5,2,3,0,9,1,5500
146,5,2,4,1,9,1,5500
147,5,2,5,0,9,0,5500
148,5,2,6,0,9,1,5500
149,5,2,7,1,9,1,5500
150,5,2,8,1,9,1,5500
151,5,2,9,0,9,1,5500
152,5,2,10,1,9,1,5500
153,5,2,11,1,9,1,5500
154,5,3,1,0,5,1,5500
155,5,3,2,1,5,0,5500
156,5,3,3,0,5,0,5500
157,5,3,4,1,5,1,5500
158,5,3,5,1,5,0,5500
159,5,3,6,0,5,0,5500
160,5,3,7,1,5,1,5500
161,5,3,8,1,5,1,5500
162,5,3,9,1,5,0,5500
163,5,3,10,0,5,1,5500
164,5,3,11,1,5,0,5500
165,6,1,1,0,5,1,5500
166,6,1,2,1,5,1,5500
167,6,1,3,0,5,0,5500
168,6,1,4,0,5,0,5500
169,6,1,5,1,5,1,5500
170,6,1,6,0,5,0,5500
171,6,1,7,0,5,0,5500
172,6,1,8,1,5,0,5500
173,6,1,9,0,5,0,5500
174,6,1,10,0,5,1,5500
175,6,1,11,1,5,1,5500
176,6,2,1,1,6,1,5500
177,6,2,2,1,6,1,5500
178,6,2,3,1,6,1,5500
179,6,2,4,0,6,0,5500
180,6,2,5,1,6,0,5500
181,6,2,6,1,6,1,5500
182,6,2,7,0,6,1,5500
183,6,2,8,0,6,0,5500
184,6,2,9,0,6,0,5500
185,6,2,10,0,6,0,5500
186,6,2,11,0,6,1,5500
187,6,3,1,0,5,0,5500
188,6,3,2,0,5,0,5500
189,6,3,3,1,5,1,5500
190,6,3,4,1,5,0,5500
191,6,3,5,0,5,0,5500
192,6,3,6,1,5,0,5500
193,6,3,7,0,5,1,5500
194,6,3,8,1,5,0,5500
195,6,3,9,1,5,1,5500
196,6,3,10,0,5,1,5500
197,6,3,11,1,5,1,5500
198,7,1,1,0,8,0,5500
199,7,1,2,0,8,1,5500
200,7,1,3,1,8,1,5500
201,7,1,4,1,8,1,5500
202,7,1,5,0,8,0,5500
203,7,1,6,1,8,1,5500
204,7,1,7,0,8,1,5500
205,7,1,8,0,8,1,5500
206,7,1,9,1,8,1,5500
207,7,1,10,0,8,0,5500
208,7,1,11,1,8,1,5500
209,7,2,1,1,9,1,5500
210,7,2,2,1,9,1,5500
211,7,2,3,0,9,1,5500
212,7,2,4,0,9,0,5500
213,7,2,5,0,9,1,5500
214,7,2,6,1,9,1,5500
215,7,2,7,0,9,0,5500
216,7,2,8,1,9,1,5500
217,7,2,9,1,9,1,5500
218,7,2,10,0,9,1,5500
219,7,2,11,0,9,1,5500
220,7,3,1,1,6,0,5500
221,7,3,2,0,6,0,5500
222,7,3,3,1,6,0,5500
223,7,3,4,1,6,1,5500
224,7,3,5,1,6,1,5500
225,7,3,6,1,6,1,5500
226,7,3,7,0,6,1,5500
227,7,3,8,0,6,0,5500
228,7,3,9,0,6,1,5500
229,7,3,10,0,6,0,5500
230,7,3,11,1,6,1,5500
231,8,1,1,0,8,1,5500
232,8,1,2,1,8,1,5500
233,8,1,3,1,8,0,5500
234,8,1,4,0,8,1,5500
235,8,1,5,0,8,1,5500
236,8,1,6,1,8,1,5500
237,8,1,7,1,8,1,5500
238,8,1,8,0,8,1,5500
239,8,1,9,0,8,1,5500
240,8,1,10,0,8,0,5500
241,8,1,11,0,8,0,5500
242,8,2,1,1,7,1,5500
243,8,2,2,0,7,1,5500
244,8,2,3,0,7,1,5500
245,8,2,4,0,7,1,5500
246,8,2,5,0,7,0,5500
247,8,2,6,1,7,1,5500
248,8,2,7,0,7,0,5500
249,8,2,8,0,7,0,5500
250,8,2,9,1,7,1,5500
251,8,2,10,0,7,1,5500
252,8,2,11,0,7,0,5500
253,8,3,1,1,5,1,5500
254,8,3,2,1,5,0,5500
255,8,3,3,0,5,0,5500
256,8,3,4,1,5,1,5500
257,8,3,5,1,5,1,5500
258,8,3,6,0,5,0,5500
259,8,3,7,0,5,1,5500
260,8,3,8,0,5,0,5500
261,8,3,9,0,5,1,5500
262,8,3,10,0,5,0,5500
263,8,3,11,1,5,1,5500
264,9,1,1,0,10,1,5500
265,9,1,2,1,10,1,5500
266,9,1,3,0,10,1,5500
267,9,1,4,0,10,1,5500
268,9,1,5,1,10,1,5500
269,9,1,6,0,10,1,5500
270,9,1,7,0,10,1,5500
271,9,1,8,0,10,1,5500
272,9,1,9,0,10,0,5500
273,9,1,10,0,10,1,5500
274,9,1,11,1,10,1,5500
275,9,2,1,0,5,0,5500
276,9,2,2,1,5,1,5500
277,9,2,3,1,5,0,5500
278,9,2,4,0,5,0,5500
279,9,2,5,0,5,0,5500
280,9,2,6,1,5,1,5500
281,9,2,7,1,5,1,5500
282,9,2,8,0,5,0,5500
283,9,2,9,0,5,1,5500
284,9,2,10,0,5,0,5500
285,9,2,11,0,5,1,5500
286,9,3,1,1,10,1,5500
287,9,3,2,1,10,1,5500
288,9,3,3,0,10,0,5500
289,9,3,4,0,10,0,5500
290,9,3,5,0,10,1,5500
291,9,3,6,1,10,1,5500
292,9,3,7,0,10,1,5500
293,9,3,8,1,10,1,5500
294,9,3,9,0,10,1,5500
295,9,3,10,1,10,1,5500
296,9,3,11,1,10,1,5500
297,10,1,1,1,7,1,5500
298,10,1,2,0,7,0,5500
299,10,1,3,0,7,0,5500
300,10,1,4,1,7,1,5500
301,10,1,5,1,7,1,5500
302,10,1,6,1,7,0,5500
303,10,1,7,1,7,1,5500
304,10,1,8,1,7,1,5500
305,10,1,9,0,7,0,5500
306,10,1,10,0,7,1,5500
307,10,1,11,0,7,0,5500
308,10,2,1,1,10,1,5500
309,10,2,2,1,10,1,5500
310,10,2,3,0,10,1,5500
311,10,2,4,1,10,1,5500
312,10,2,5,1,10,0,5500
313,10,2,6,1,10,1,5500
314,10,2,7,1,10,1,5500
315,10,2,8,0,10,1,5500
316,10,2,9,1,10,1,5500
317,10,2,10,0,10,1,5500
318,10,2,11,1,10,1,5500
319,10,3,1,1,10,1,5500
320,10,3,2,1,10,1,5500
321,10,3,3,1,10,1,5500
322,10,3,4,1,10,1,5500
323,10,3,5,0,10,1,5500
324,10,3,6,1,10,1,5500
325,10,3,7,1,10,1,5500
326,10,3,8,1,10,1,5500
327,10,3,9,0,10,1,5500
328,10,3,10,0,10,1,5500
329,10,3,11,0,10,0,5500
330,11,1,1,0,5,0,5500
331,11,1,2,0,5,1,5500
332,11,1,3,0,5,1,5500
333,11,1,4,0,5,0,5500
334,11,1,5,0,5,0,5500
335,11,1,6,0,5,0,5500
336,11,1,7,1,5,1,5500
337,11,1,8,0,5,0,5500
338,11,1,9,0,5,1,5500
339,11,1,10,1,5,0,5500
340,11,1,11,1,5,1,5500
341,11,2,1,1,8,1,5500
342,11,2,2,0,8,0,5500
343,11,2,3,1,8,1,5500
344,11,2,4,1,8,0,5500
345,11,2,5,1,8,1,5500
346,11,2,6,1,8,1,5500
347,11,2,7,0,8,1,5500
348,11,2,8,1,8,1,5500
349,11,2,9,1,8,0,5500
350,11,2,10,0,8,1,5500
351,11,2,11,0,8,1,5500
352,11,3,1,0,6,1,5500
353,11,3,2,1,6,0,5500
354,11,3,3,1,6,0,5500
355,11,3,4,0,6,0,5500
