id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,sumFitnness
0,1,1,1,0,7,1,480,5160
1,1,1,2,0,7,0,600,5160
2,1,1,3,0,7,0,480,5160
3,1,1,4,0,7,1,580,5160
4,1,1,5,0,7,0,550,5160
5,1,1,6,1,7,1,570,5160
6,1,1,7,0,7,0,560,5160
7,1,1,8,1,7,1,600,5160
8,1,1,9,1,7,1,520,5160
9,1,1,10,1,7,0,500,5160
10,1,1,11,0,7,1,620,5160
11,1,2,1,1,7,0,480,5160
12,1,2,2,1,7,1,600,5160
13,1,2,3,0,7,0,480,5160
14,1,2,4,1,7,0,580,5160
15,1,2,5,1,7,1,550,5160
16,1,2,6,0,7,1,570,5160
17,1,2,7,0,7,1,560,5160
18,1,2,8,1,7,1,600,5160
19,1,2,9,1,7,1,520,5160
20,1,2,10,0,7,0,500,5160
21,1,2,11,1,7,1,620,5160
22,1,3,1,1,7,1,480,5160
23,1,3,2,0,7,1,600,5160
24,1,3,3,1,7,1,480,5160
25,1,3,4,0,7,0,580,5160
26,1,3,5,1,7,1,550,5160
27,1,3,6,1,7,1,570,5160
28,1,3,7,1,7,1,560,5160
29,1,3,8,0,7,0,600,5160
30,1,3,9,0,7,1,520,5160
31,1,3,10,0,7,0,500,5160
32,1,3,11,1,7,0,620,5160
33,2,1,1,0,5,0,480,5160
34,2,1,2,0,5,0,600,5160
35,2,1,3,1,5,1,480,5160
36,2,1,4,0,5,0,580,5160
37,2,1,5,0,5,0,550,5160
38,2,1,6,1,5,1,570,5160
39,2,1,7,0,5,1,560,5160
40,2,1,8,1,5,1,600,5160
41,2,1,9,0,5,0,520,5160
42,2,1,10,1,5,0,500,5160
43,2,1,11,1,5,0,620,5160
44,2,2,1,1,5,1,480,5160
45,2,2,2,0,5,0,600,5160
46,2,2,3,1,5,0,480,5160
47,2,2,4,0,5,1,580,5160
48,2,2,5,0,5,0,550,5160
49,2,2,6,1,5,1,570,5160
50,2,2,7,0,5,0,560,5160
51,2,2,8,0,5,0,600,5160
52,2,2,9,0,5,1,520,5160
53,2,2,10,1,5,1,500,5160
54,2,2,11,1,5,0,620,5160
55,2,3,1,0,9,0,480,5160
56,2,3,2,0,9,1,600,5160
57,2,3,3,0,9,1,480,5160
58,2,3,4,1,9,1,580,5160
59,2,3,5,0,9,1,550,5160
60,2,3,6,0,9,1,570,5160
61,2,3,7,0,9,1,560,5160
62,2,3,8,1,9,1,600,5160
63,2,3,9,0,9,0,520,5160
64,2,3,10,1,9,1,500,5160
65,2,3,11,1,9,1,620,5160
66,3,1,1,1,7,1,480,5160
67,3,1,2,0,7,0,600,5160
68,3,1,3,0,7,0,480,5160
69,3,1,4,1,7,1,580,5160
70,3,1,5,1,7,1,550,5160
71,3,1,6,1,7,1,570,5160
72,3,1,7,1,7,0,560,5160
73,3,1,8,0,7,1,600,5160
74,3,1,9,1,7,0,520,5160
75,3,1,10,1,7,1,500,5160
76,3,1,11,1,7,1,620,5160
77,3,2,1,0,8,1,480,5160
78,3,2,2,1,8,1,600,5160
79,3,2,3,0,8,1,480,5160
80,3,2,4,0,8,1,580,5160
81,3,2,5,1,8,0,550,5160
82,3,2,6,1,8,1,570,5160
83,3,2,7,1,8,1,560,5160
84,3,2,8,0,8,0,600,5160
85,3,2,9,1,8,1,520,5160
86,3,2,10,0,8,1,500,5160
87,3,2,11,1,8,1,620,5160
88,3,3,1,1,9,1,480,5160
89,3,3,2,0,9,0,600,5160
90,3,3,3,0,9,1,480,5160
91,3,3,4,0,9,0,580,5160
92,3,3,5,0,9,1,550,5160
93,3,3,6,0,9,1,570,5160
94,3,3,7,1,9,1,560,5160
95,3,3,8,0,9,1,600,5160
96,3,3,9,0,9,1,520,5160
97,3,3,10,0,9,1,500,5160
98,3,3,11,0,9,1,620,5160
99,4,1,1,0,6,0,480,5160
100,4,1,2,0,6,0,600,5160
101,4,1,3,0,6,0,480,5160
102,4,1,4,1,6,1,580,5160
103,4,1,5,0,6,1,550,5160
104,4,1,6,0,6,1,570,5160
105,4,1,7,1,6,1,560,5160
106,4,1,8,1,6,0,600,5160
