id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,sumFitnness
0,1,1,1,0,7,1,500,800,5140
1,1,1,2,0,7,0,540,800,5140
2,1,1,3,0,7,0,540,800,5140
3,1,1,4,0,7,1,600,800,5140
4,1,1,5,0,7,0,570,800,5140
5,1,1,6,1,7,1,570,800,5140
6,1,1,7,0,7,0,650,800,5140
7,1,1,8,1,7,1,500,800,5140
8,1,1,9,1,7,1,490,800,5140
9,1,1,10,1,7,1,500,800,5140
10,1,1,11,0,7,1,480,800,5140
11,1,2,1,1,7,1,500,800,5140
12,1,2,2,1,7,0,540,800,5140
13,1,2,3,0,7,0,540,800,5140
14,1,2,4,1,7,1,600,800,5140
15,1,2,5,1,7,1,570,800,5140
16,1,2,6,0,7,1,570,800,5140
17,1,2,7,0,7,0,650,800,5140
18,1,2,8,1,7,1,500,800,5140
19,1,2,9,1,7,1,490,800,5140
20,1,2,10,0,7,0,500,800,5140
21,1,2,11,1,7,1,480,800,5140
22,1,3,1,1,7,1,500,800,5140
23,1,3,2,0,7,0,540,800,5140
24,1,3,3,1,7,1,540,800,5140
25,1,3,4,0,7,0,600,800,5140
26,1,3,5,1,7,1,570,800,5140
27,1,3,6,1,7,1,570,800,5140
28,1,3,7,1,7,1,650,800,5140
29,1,3,8,0,7,0,500,800,5140
30,1,3,9,0,7,0,490,800,5140
31,1,3,10,0,7,1,500,800,5140
32,1,3,11,1,7,1,480,800,5140
33,2,1,1,0,5,0,500,800,5140
34,2,1,2,0,5,0,540,800,5140
35,2,1,3,1,5,1,540,800,5140
36,2,1,4,0,5,0,600,800,5140
37,2,1,5,0,5,0,570,800,5140
38,2,1,6,1,5,1,570,800,5140
39,2,1,7,0,5,0,650,800,5140
40,2,1,8,1,5,0,500,800,5140
41,2,1,9,0,5,1,490,800,5140
42,2,1,10,1,5,1,500,800,5140
43,2,1,11,1,5,1,480,800,5140
44,2,2,1,1,5,1,500,800,5140
45,2,2,2,0,5,0,540,800,5140
46,2,2,3,1,5,0,540,800,5140
47,2,2,4,0,5,1,600,800,5140
48,2,2,5,0,5,1,570,800,5140
49,2,2,6,1,5,0,570,800,5140
50,2,2,7,0,5,0,650,800,5140
51,2,2,8,0,5,1,500,800,5140
52,2,2,9,0,5,1,490,800,5140
53,2,2,10,1,5,0,500,800,5140
54,2,2,11,1,5,0,480,800,5140
55,2,3,1,0,9,1,500,800,5140
56,2,3,2,0,9,1,540,800,5140
57,2,3,3,0,9,1,540,800,5140
58,2,3,4,1,9,1,600,800,5140
59,2,3,5,0,9,0,570,800,5140
60,2,3,6,0,9,1,570,800,5140
61,2,3,7,0,9,1,650,800,5140
62,2,3,8,1,9,1,500,800,5140
63,2,3,9,0,9,1,490,800,5140
64,2,3,10,1,9,1,500,800,5140
65,2,3,11,1,9,0,480,800,5140
66,3,1,1,1,7,1,500,800,5140
