id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,finalFitnness
0,1,1,1,0,7,1,500,1100,5020
1,1,1,2,0,7,1,580,1100,5020
2,1,1,3,0,7,0,540,1100,5020
3,1,1,4,0,7,1,520,1100,5020
4,1,1,5,0,7,1,540,1100,5020
5,1,1,6,1,7,0,600,1100,5020
6,1,1,7,0,7,0,650,1100,5020
7,1,1,8,1,7,1,560,1100,5020
8,1,1,9,1,7,1,540,1100,5020
9,1,1,10,1,7,1,500,1100,5020
10,1,1,11,0,7,0,590,1100,5020
11,1,2,1,1,7,1,500,1100,5020
12,1,2,2,1,7,0,580,1100,5020
13,1,2,3,0,7,1,540,1100,5020
14,1,2,4,1,7,0,520,1100,5020
15,1,2,5,1,7,1,540,1100,5020
16,1,2,6,0,7,0,600,1100,5020
17,1,2,7,0,7,0,650,1100,5020
18,1,2,8,1,7,1,560,1100,5020
19,1,2,9,1,7,1,540,1100,5020
20,1,2,10,0,7,1,500,1100,5020
21,1,2,11,1,7,1,590,1100,5020
22,1,3,1,1,7,1,500,1100,5020
23,1,3,2,0,7,1,580,1100,5020
24,1,3,3,1,7,1,540,1100,5020
25,1,3,4,0,7,0,520,1100,5020
26,1,3,5,1,7,1,540,1100,5020
27,1,3,6,1,7,1,600,1100,5020
28,1,3,7,1,7,1,650,1100,5020
29,1,3,8,0,7,0,560,1100,5020
30,1,3,9,0,7,0,540,1100,5020
31,1,3,10,0,7,1,500,1100,5020
32,1,3,11,1,7,0,590,1100,5020
33,2,1,1,0,5,1,500,1100,5020
34,2,1,2,0,5,1,580,1100,5020
35,2,1,3,1,5,1,540,1100,5020
36,2,1,4,0,5,0,520,1100,5020
37,2,1,5,0,5,0,540,1100,5020
38,2,1,6,1,5,0,600,1100,5020
39,2,1,7,0,5,0,650,1100,5020
40,2,1,8,1,5,1,560,1100,5020
41,2,1,9,0,5,0,540,1100,5020
42,2,1,10,1,5,1,500,1100,5020
43,2,1,11,1,5,0,590,1100,5020
44,2,2,1,1,5,1,500,1100,5020
45,2,2,2,0,5,0,580,1100,5020
46,2,2,3,1,5,1,540,1100,5020
47,2,2,4,0,5,0,520,1100,5020
48,2,2,5,0,5,0,540,1100,5020
49,2,2,6,1,5,1,600,1100,5020
50,2,2,7,0,5,0,650,1100,5020
51,2,2,8,0,5,1,560,1100,5020
52,2,2,9,0,5,0,540,1100,5020
53,2,2,10,1,5,1,500,1100,5020
54,2,2,11,1,5,0,590,1100,5020
55,2,3,1,0,9,0,500,1100,5020
56,2,3,2,0,9,0,580,1100,5020
57,2,3,3,0,9,1,540,1100,5020
58,2,3,4,1,9,1,520,1100,5020
59,2,3,5,0,9,1,540,1100,5020
60,2,3,6,0,9,1,600,1100,5020
61,2,3,7,0,9,1,650,1100,5020
62,2,3,8,1,9,1,560,1100,5020
63,2,3,9,0,9,1,540,1100,5020
64,2,3,10,1,9,1,500,1100,5020
65,2,3,11,1,9,1,590,1100,5020
66,3,1,1,1,7,0,500,1100,5020
67,3,1,2,0,7,1,580,1100,5020
68,3,1,3,0,7,1,540,1100,5020
69,3,1,4,1,7,1,520,1100,5020
70,3,1,5,1,7,1,540,1100,5020
71,3,1,6,1,7,1,600,1100,5020
72,3,1,7,1,7,1,650,1100,5020
73,3,1,8,0,7,0,560,1100,5020
74,3,1,9,1,7,0,540,1100,5020
75,3,1,10,1,7,0,500,1100,5020
76,3,1,11,1,7,1,590,1100,5020
77,3,2,1,0,8,1,500,1100,5020
78,3,2,2,1,8,1,580,1100,5020
79,3,2,3,0,8,1,540,1100,5020
80,3,2,4,0,8,0,520,1100,5020
81,3,2,5,1,8,1,540,1100,5020
82,3,2,6,1,8,1,600,1100,5020
83,3,2,7,1,8,1,650,1100,5020
84,3,2,8,0,8,1,560,1100,5020
85,3,2,9,1,8,1,540,1100,5020
86,3,2,10,0,8,0,500,1100,5020
87,3,2,11,1,8,0,590,1100,5020
88,3,3,1,1,9,1,500,1100,5020
89,3,3,2,0,9,1,580,1100,5020
90,3,3,3,0,9,0,540,1100,5020
91,3,3,4,0,9,1,520,1100,5020
92,3,3,5,0,9,1,540,1100,5020
93,3,3,6,0,9,1,600,1100,5020
94,3,3,7,1,9,1,650,1100,5020
95,3,3,8,0,9,1,560,1100,5020
96,3,3,9,0,9,1,540,1100,5020
97,3,3,10,0,9,1,500,1100,5020
98,3,3,11,0,9,1,590,1100,5020
99,4,1,1,0,6,1,500,1100,5020
100,4,1,2,0,6,0,580,1100,5020
101,4,1,3,0,6,0,540,1100,5020
102,4,1,4,1,6,1,520,1100,5020
103,4,1,5,0,6,0,540,1100,5020
104,4,1,6,0,6,0,600,1100,5020
105,4,1,7,1,6,1,650,1100,5020
106,4,1,8,1,6,1,560,1100,5020
107,4,1,9,1,6,1,540,1100,5020
108,4,1,10,1,6,0,500,1100,5020
109,4,1,11,1,6,1,590,1100,5020
110,4,2,1,0,10,1,500,1100,5020
111,4,2,2,1,10,1,580,1100,5020
112,4,2,3,0,10,0,540,1100,5020
113,4,2,4,0,10,1,520,1100,5020
114,4,2,5,1,10,1,540,1100,5020
115,4,2,6,1,10,1,600,1100,5020
116,4,2,7,1,10,1,650,1100,5020
117,4,2,8,1,10,1,560,1100,5020
118,4,2,9,1,10,1,540,1100,5020
119,4,2,10,1,10,1,500,1100,5020
120,4,2,11,0,10,1,590,1100,5020
121,4,3,1,0,10,1,500,1100,5020
122,4,3,2,1,10,1,580,1100,5020
123,4,3,3,0,10,1,540,1100,5020
124,4,3,4,0,10,0,520,1100,5020
125,4,3,5,0,10,0,540,1100,5020
126,4,3,6,0,10,1,600,1100,5020
127,4,3,7,1,10,1,650,1100,5020
128,4,3,8,0,10,1,560,1100,5020
129,4,3,9,0,10,1,540,1100,5020
130,4,3,10,0,10,1,500,1100,5020
131,4,3,11,0,10,1,590,1100,5020
132,5,1,1,1,8,1,500,1100,5020
133,5,1,2,0,8,1,580,1100,5020
134,5,1,3,0,8,1,540,1100,5020
135,5,1,4,0,8,0,520,1100,5020
136,5,1,5,1,8,1,540,1100,5020
137,5,1,6,1,8,1,600,1100,5020
138,5,1,7,0,8,1,650,1100,5020
139,5,1,8,1,8,1,560,1100,5020
140,5,1,9,0,8,1,540,1100,5020
141,5,1,10,1,8,1,500,1100,5020
142,5,1,11,1,8,1,590,1100,5020
143,5,2,1,0,9,1,500,1100,5020
144,5,2,2,0,9,1,580,1100,5020
145,5,2,3,0,9,0,540,1100,5020
146,5,2,4,1,9,1,520,1100,5020
147,5,2,5,0,9,1,540,1100,5020
148,5,2,6,0,9,1,600,1100,5020
149,5,2,7,1,9,1,650,1100,5020
150,5,2,8,1,9,1,560,1100,5020
151,5,2,9,0,9,1,540,1100,5020
152,5,2,10,1,9,1,500,1100,5020
153,5,2,11,1,9,0,590,1100,5020
154,5,3,1,0,5,1,500,1100,5020
155,5,3,2,1,5,1,580,1100,5020
156,5,3,3,0,5,0,540,1100,5020
157,5,3,4,1,5,1,520,1100,5020
158,5,3,5,1,5,1,540,1100,5020
159,5,3,6,0,5,0,600,1100,5020
160,5,3,7,1,5,0,650,1100,5020
161,5,3,8,1,5,1,560,1100,5020
162,5,3,9,1,5,1,540,1100,5020
163,5,3,10,0,5,0,500,1100,5020
