id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,finalFitnness
0,1,1,1,0,7,1,590,1250,5100
1,1,1,2,0,7,0,680,1250,5100
2,1,1,3,0,7,1,550,1250,5100
3,1,1,4,0,7,0,540,1250,5100
4,1,1,5,0,7,1,500,1250,5100
5,1,1,6,1,7,1,550,1250,5100
6,1,1,7,0,7,0,580,1250,5100
7,1,1,8,1,7,1,660,1250,5100
8,1,1,9,1,7,1,620,1250,5100
9,1,1,10,1,7,1,510,1250,5100
10,1,1,11,0,7,0,570,1250,5100
11,1,2,1,1,7,1,590,1250,5100
12,1,2,2,1,7,1,680,1250,5100
13,1,2,3,0,7,0,550,1250,5100
14,1,2,4,1,7,0,540,1250,5100
15,1,2,5,1,7,1,500,1250,5100
16,1,2,6,0,7,1,550,1250,5100
17,1,2,7,0,7,0,580,1250,5100
18,1,2,8,1,7,1,660,1250,5100
19,1,2,9,1,7,0,620,1250,5100
20,1,2,10,0,7,1,510,1250,5100
21,1,2,11,1,7,1,570,1250,5100
22,1,3,1,1,7,1,590,1250,5100
23,1,3,2,0,7,0,680,1250,5100
24,1,3,3,1,7,0,550,1250,5100
25,1,3,4,0,7,1,540,1250,5100
26,1,3,5,1,7,1,500,1250,5100
27,1,3,6,1,7,1,550,1250,5100
28,1,3,7,1,7,1,580,1250,5100
29,1,3,8,0,7,0,660,1250,5100
30,1,3,9,0,7,1,620,1250,5100
31,1,3,10,0,7,0,510,1250,5100
32,1,3,11,1,7,1,570,1250,5100
33,2,1,1,0,5,0,590,1250,5100
34,2,1,2,0,5,0,680,1250,5100
35,2,1,3,1,5,1,550,1250,5100
36,2,1,4,0,5,0,540,1250,5100
37,2,1,5,0,5,0,500,1250,5100
38,2,1,6,1,5,1,550,1250,5100
39,2,1,7,0,5,0,580,1250,5100
40,2,1,8,1,5,1,660,1250,5100
41,2,1,9,0,5,0,620,1250,5100
42,2,1,10,1,5,1,510,1250,5100
43,2,1,11,1,5,1,570,1250,5100
44,2,2,1,1,5,1,590,1250,5100
45,2,2,2,0,5,0,680,1250,5100
46,2,2,3,1,5,1,550,1250,5100
47,2,2,4,0,5,1,540,1250,5100
48,2,2,5,0,5,1,500,1250,5100
49,2,2,6,1,5,0,550,1250,5100
50,2,2,7,0,5,0,580,1250,5100
51,2,2,8,0,5,1,660,1250,5100
52,2,2,9,0,5,0,620,1250,5100
53,2,2,10,1,5,0,510,1250,5100
54,2,2,11,1,5,0,570,1250,5100
55,2,3,1,0,9,0,590,1250,5100
56,2,3,2,0,9,1,680,1250,5100
57,2,3,3,0,9,1,550,1250,5100
58,2,3,4,1,9,1,540,1250,5100
59,2,3,5,0,9,1,500,1250,5100
60,2,3,6,0,9,1,550,1250,5100
61,2,3,7,0,9,1,580,1250,5100
62,2,3,8,1,9,1,660,1250,5100
63,2,3,9,0,9,1,620,1250,5100
64,2,3,10,1,9,1,510,1250,5100
65,2,3,11,1,9,0,570,1250,5100
66,3,1,1,1,7,0,590,1250,5100
67,3,1,2,0,7,1,680,1250,5100
68,3,1,3,0,7,1,550,1250,5100
69,3,1,4,1,7,1,540,1250,5100
70,3,1,5,1,7,0,500,1250,5100
71,3,1,6,1,7,1,550,1250,5100
72,3,1,7,1,7,1,580,1250,5100
73,3,1,8,0,7,0,660,1250,5100
74,3,1,9,1,7,1,620,1250,5100
75,3,1,10,1,7,1,510,1250,5100
76,3,1,11,1,7,1,570,1250,5100
77,3,2,1,0,8,1,590,1250,5100
78,3,2,2,1,8,1,680,1250,5100
79,3,2,3,0,8,1,550,1250,5100
80,3,2,4,0,8,0,540,1250,5100
81,3,2,5,1,8,0,500,1250,5100
82,3,2,6,1,8,1,550,1250,5100
83,3,2,7,1,8,1,580,1250,5100
84,3,2,8,0,8,0,660,1250,5100
85,3,2,9,1,8,1,620,1250,5100
86,3,2,10,0,8,1,510,1250,5100
87,3,2,11,1,8,1,570,1250,5100
88,3,3,1,1,9,1,590,1250,5100
89,3,3,2,0,9,1,680,1250,5100
90,3,3,3,0,9,1,550,1250,5100
91,3,3,4,0,9,0,540,1250,5100
92,3,3,5,0,9,0,500,1250,5100
93,3,3,6,0,9,1,550,1250,5100
94,3,3,7,1,9,1,580,1250,5100
95,3,3,8,0,9,1,660,1250,5100
96,3,3,9,0,9,1,620,1250,5100
97,3,3,10,0,9,0,510,1250,5100
98,3,3,11,0,9,1,570,1250,5100
99,4,1,1,0,6,1,590,1250,5100
100,4,1,2,0,6,0,680,1250,5100
101,4,1,3,0,6,1,550,1250,5100
102,4,1,4,1,6,0,540,1250,5100
103,4,1,5,0,6,0,500,1250,5100
104,4,1,6,0,6,0,550,1250,5100
105,4,1,7,1,6,1,580,1250,5100
106,4,1,8,1,6,1,660,1250,5100
107,4,1,9,1,6,1,620,1250,5100
108,4,1,10,1,6,1,510,1250,5100
109,4,1,11,1,6,0,570,1250,5100
110,4,2,1,0,10,1,590,1250,5100
111,4,2,2,1,10,1,680,1250,5100
112,4,2,3,0,10,0,550,1250,5100
113,4,2,4,0,10,1,540,1250,5100
114,4,2,5,1,10,1,500,1250,5100
115,4,2,6,1,10,1,550,1250,5100
116,4,2,7,1,10,1,580,1250,5100
117,4,2,8,1,10,1,660,1250,5100
118,4,2,9,1,10,1,620,1250,5100
119,4,2,10,1,10,1,510,1250,5100
120,4,2,11,0,10,0,570,1250,5100
121,4,3,1,0,10,1,590,1250,5100
122,4,3,2,1,10,1,680,1250,5100
123,4,3,3,0,10,1,550,1250,5100
124,4,3,4,0,10,1,540,1250,5100
125,4,3,5,0,10,1,500,1250,5100
126,4,3,6,0,10,0,550,1250,5100
127,4,3,7,1,10,0,580,1250,5100
128,4,3,8,0,10,1,660,1250,5100
129,4,3,9,0,10,1,620,1250,5100
130,4,3,10,0,10,1,510,1250,5100
131,4,3,11,0,10,1,570,1250,5100
132,5,1,1,1,8,1,590,1250,5100
133,5,1,2,0,8,1,680,1250,5100
134,5,1,3,0,8,1,550,1250,5100
135,5,1,4,0,8,1,540,1250,5100
136,5,1,5,1,8,0,500,1250,5100
137,5,1,6,1,8,1,550,1250,5100
138,5,1,7,0,8,0,580,1250,5100
139,5,1,8,1,8,1,660,1250,5100
140,5,1,9,0,8,1,620,1250,5100
141,5,1,10,1,8,1,510,1250,5100
142,5,1,11,1,8,0,570,1250,5100
143,5,2,1,0,9,1,590,1250,5100
144,5,2,2,0,9,1,680,1250,5100
145,5,2,3,0,9,0,550,1250,5100
146,5,2,4,1,9,1,540,1250,5100
147,5,2,5,0,9,1,500,1250,5100
148,5,2,6,0,9,0,550,1250,5100
149,5,2,7,1,9,1,580,1250,5100
150,5,2,8,1,9,1,660,1250,5100
151,5,2,9,0,9,0,620,1250,5100
152,5,2,10,1,9,1,510,1250,5100
153,5,2,11,1,9,1,570,1250,5100
154,5,3,1,0,5,0,590,1250,5100
155,5,3,2,1,5,1,680,1250,5100
156,5,3,3,0,5,0,550,1250,5100
157,5,3,4,1,5,1,540,1250,5100
158,5,3,5,1,5,1,500,1250,5100
159,5,3,6,0,5,0,550,1250,5100
160,5,3,7,1,5,0,580,1250,5100
161,5,3,8,1,5,0,660,1250,5100
162,5,3,9,1,5,0,620,1250,5100
163,5,3,10,0,5,0,510,1250,5100
164,5,3,11,1,5,1,570,1250,5100
165,6,1,1,0,5,1,590,1250,5100
166,6,1,2,1,5,0,680,1250,5100
167,6,1,3,0,5,0,550,1250,5100
168,6,1,4,0,5,0,540,1250,5100
169,6,1,5,1,5,1,500,1250,5100
170,6,1,6,0,5,1,550,1250,5100
171,6,1,7,0,5,0,580,1250,5100
172,6,1,8,1,5,1,660,1250,5100
173,6,1,9,0,5,0,620,1250,5100
174,6,1,10,0,5,0,510,1250,5100
175,6,1,11,1,5,1,570,1250,5100
176,6,2,1,1,6,1,590,1250,5100
177,6,2,2,1,6,1,680,1250,5100
178,6,2,3,1,6,0,550,1250,5100
179,6,2,4,0,6,1,540,1250,5100
180,6,2,5,1,6,1,500,1250,5100
181,6,2,6,1,6,1,550,1250,5100
182,6,2,7,0,6,0,580,1250,5100
183,6,2,8,0,6,0,660,1250,5100
184,6,2,9,0,6,1,620,1250,5100
185,6,2,10,0,6,0,510,1250,5100
186,6,2,11,0,6,0,570,1250,5100
187,6,3,1,0,5,0,590,1250,5100
188,6,3,2,0,5,0,680,1250,5100
189,6,3,3,1,5,1,550,1250,5100
190,6,3,4,1,5,0,540,1250,5100
191,6,3,5,0,5,0,500,1250,5100
192,6,3,6,1,5,1,550,1250,5100
193,6,3,7,0,5,1,580,1250,5100
194,6,3,8,1,5,0,660,1250,5100
195,6,3,9,1,5,0,620,1250,5100
196,6,3,10,0,5,1,510,1250,5100
197,6,3,11,1,5,1,570,1250,5100
198,7,1,1,0,8,1,590,1250,5100
199,7,1,2,0,8,0,680,1250,5100
200,7,1,3,1,8,1,550,1250,5100
201,7,1,4,1,8,1,540,1250,5100
202,7,1,5,0,8,1,500,1250,5100
203,7,1,6,1,8,1,550,1250,5100
204,7,1,7,0,8,0,580,1250,5100
205,7,1,8,0,8,1,660,1250,5100
206,7,1,9,1,8,1,620,1250,5100
207,7,1,10,0,8,1,510,1250,5100
208,7,1,11,1,8,1,570,1250,5100
209,7,2,1,1,9,1,590,1250,5100
210,7,2,2,1,9,1,680,1250,5100
211,7,2,3,0,9,1,550,1250,5100
212,7,2,4,0,9,0,540,1250,5100
213,7,2,5,0,9,1,500,1250,5100
214,7,2,6,1,9,0,550,1250,5100
215,7,2,7,0,9,1,580,1250,5100
216,7,2,8,1,9,1,660,1250,5100
217,7,2,9,1,9,1,620,1250,5100
218,7,2,10,0,9,1,510,1250,5100
219,7,2,11,0,9,1,570,1250,5100
220,7,3,1,1,6,1,590,1250,5100
221,7,3,2,0,6,0,680,1250,5100
222,7,3,3,1,6,1,550,1250,5100
223,7,3,4,1,6,1,540,1250,5100
224,7,3,5,1,6,1,500,1250,5100
225,7,3,6,1,6,0,550,1250,5100
226,7,3,7,0,6,0,580,1250,5100
227,7,3,8,0,6,0,660,1250,5100
228,7,3,9,0,6,0,620,1250,5100
229,7,3,10,0,6,1,510,1250,5100
230,7,3,11,1,6,1,570,1250,5100
231,8,1,1,0,8,1,590,1250,5100
232,8,1,2,1,8,1,680,1250,5100
233,8,1,3,1,8,1,550,1250,5100
234,8,1,4,0,8,1,540,1250,5100
235,8,1,5,0,8,1,500,1250,5100
236,8,1,6,1,8,0,550,1250,5100
237,8,1,7,1,8,1,580,1250,5100
238,8,1,8,0,8,0,660,1250,5100
239,8,1,9,0,8,0,620,1250,5100
240,8,1,10,0,8,1,510,1250,5100
241,8,1,11,0,8,0,570,1250,5100
242,8,2,1,1,7,1,590,1250,5100
243,8,2,2,0,7,1,680,1250,5100
244,8,2,3,0,7,0,550,1250,5100
245,8,2,4,0,7,0,540,1250,5100
246,8,2,5,0,7,0,500,1250,5100
247,8,2,6,1,7,1,550,1250,5100
248,8,2,7,0,7,1,580,1250,5100
249,8,2,8,0,7,0,660,1250,5100
250,8,2,9,1,7,1,620,1250,5100
251,8,2,10,0,7,1,510,1250,5100
252,8,2,11,0,7,1,570,1250,5100
253,8,3,1,1,5,1,590,1250,5100
254,8,3,2,1,5,1,680,1250,5100
255,8,3,3,0,5,0,550,1250,5100
256,8,3,4,1,5,1,540,1250,5100
257,8,3,5,1,5,0,500,1250,5100
